"time","geo","statinfo","age","age_label","statinfo_label","value","flag"
2018,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.8,
2019,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.5,
2020,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.3,"b"
2021,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27,
2022,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.7,
2023,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2024,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.6,
2025,"DK","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.2,
2014,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.7,
2015,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.1,
2016,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.5,
2017,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.1,
2018,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.1,
2019,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.7,
2020,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.5,"b"
2021,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.2,
2022,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29,
2023,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.4,
2024,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.5,
2025,"DE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.1,
2014,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.6,"b"
2015,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.8,
2016,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.7,
2017,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.6,
2018,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2019,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.5,
2020,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.5,
2021,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2022,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.9,
2023,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.8,
2024,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.8,
2025,"EE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.9,
2014,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31,
2015,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.7,
2016,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.6,
2017,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2018,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.9,
2019,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28,"b"
2020,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.6,"b"
2021,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.6,
2022,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.9,
2023,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.4,
2024,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.4,
2025,"IE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",27.2,
2014,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.5,
2015,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.2,
2016,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.3,
2017,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.4,
2018,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.3,
2019,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31,
2020,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.4,
2021,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.4,
2022,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.4,
2023,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.8,
2024,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.8,
2025,"EL","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.6,
2014,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.7,
2015,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.6,
2016,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.5,
2017,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.1,
2018,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.2,
2019,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33,
2020,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.1,
2021,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33,
2022,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32,
2023,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.5,
2024,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.2,
2025,"ES","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.8,
2014,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2015,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2016,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.3,
2017,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.8,
2018,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.5,
2019,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2020,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,"b"
2021,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.3,
2022,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.8,"b"
2023,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.7,
2024,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30,
2025,"FR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.4,
2014,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.2,
2015,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.4,
2016,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.8,
2017,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.9,
2018,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.7,
2019,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2020,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.3,
2021,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2022,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.5,
2023,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.7,"b"
2024,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.8,"b"
2025,"HR","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.5,
2014,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.4,
2015,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.4,
2016,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.1,
2017,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.7,
2018,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.4,
2019,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.8,
2020,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.5,
2021,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.9,
2022,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.7,
2023,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.5,
2024,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.2,
2025,"IT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31,
2014,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.8,
2015,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",33.6,
2016,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.1,
2017,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.8,
2018,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.1,
2019,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.5,
2020,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.3,
2021,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.3,
2022,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29,
2023,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.3,
2024,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.1,
2025,"CY","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.2,
2014,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.5,
2015,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.4,
2016,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.5,
2017,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.5,
2018,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.6,
2019,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.2,
2020,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.5,
2021,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.7,
2022,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.3,
2023,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34,
2024,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",34.2,
2025,"LV","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.6,
2014,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35,
2015,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37.9,
2016,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37,
2017,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37.6,
2018,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",36.9,
2019,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.4,
2020,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.1,
2021,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.4,
2022,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",36.2,
2023,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.7,
2024,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.3,"p"
2025,"LT","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.5,"p"
2014,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.7,
2015,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",28.5,
2016,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.6,"b"
2017,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2018,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.3,
2019,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",32.3,
2020,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31.2,"b"
2021,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.6,"b"
2022,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.1,"b"
2023,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2024,"LU","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.1,
