"survey_year","income_year","hhcomp","slug","label","who","median_real","mean_real","median_model","mean_model","p25_model","p75_model","p99_model","gini_model","a","p","b","n_targets","max_abs_err_pct"
2025,2024,"A2_2LT65","couple_lt65","Ζευγάρι <65 χωρίς παιδιά","άτομα σε νοικοκυριά 2 ενηλίκων, και οι δύο κάτω των 65, χωρίς εξαρτώμενα παιδιά",14761,16115,14458.6951862491,16231.7197100981,9777.25413965956,20247.0078082671,51517.1413174483,0.30986754752334,3.87600102446452,0.546376762461709,18419.471147855,9,2.61050131530332
2025,2024,"A2_DCH1","couple_1child","Ζευγάρι με 1 παιδί","άτομα σε νοικοκυριά 2 ενηλίκων με 1 εξαρτώμενο παιδί (κάτω των 18, ή 18–24 χωρίς εργασία)",12853,15091,13025.8077538744,15047.2584497844,8764.51240747307,18582.0468161589,51835.1106965734,0.324933162439047,3.49176550212477,0.633067491573001,15860.734845287,9,3.33704483891679
