"survey_year","income_year","age","group","quantile","model","real","model_vs_real_pct","lower","lower_share_below","lower_source","upper","upper_share_below","upper_source"
2025,2024,"TOTAL","Όλος ο πληθυσμός","P25",7971.91097797372,8150,-2.18514137455557,NA,NA,NA,NA,NA,NA
2025,2024,"TOTAL","Όλος ο πληθυσμός","P50",11512.3634001912,11700,-1.60373162229744,NA,NA,NA,NA,NA,NA
2025,2024,"TOTAL","Όλος ο πληθυσμός","P75",16175.0372163826,15900,1.72979381372695,NA,NA,NA,NA,NA,NA
2025,2024,"Y_LT65","Κάτω των 65","P25",8203.38731392085,NA,NA,8190,0.24,"ilc_li02 <70% MED_EI",12050,0.5,"ilc_di03 median"
2025,2024,"Y_LT65","Κάτω των 65","P50",12099.0411172669,12050,0.406980226280984,8190,0.24,"ilc_li02 <70% MED_EI",NA,NA,NA
2025,2024,"Y_LT65","Κάτω των 65","P75",17162.2292553217,NA,NA,12050,0.5,"ilc_di03 median",NA,NA,NA
2025,2024,"Y18-64","18–64","P25",8483.21123955032,NA,NA,8190,0.226,"ilc_li02 <70% MED_EI",12500,0.5,"ilc_di03 median"
2025,2024,"Y18-64","18–64","P50",12327.9423953784,12500,-1.37646083697279,8190,0.226,"ilc_li02 <70% MED_EI",15210,0.675,"ilc_di20 >=130% MED"
2025,2024,"Y18-64","18–64","P75",16747.1183696279,NA,NA,16380,0.732,"ilc_di20 >=140% MED",17395.3,0.786,"ilc_di20 >=130% MEAN"
