"survey_year","income_year","hhcomp","label","median","mean"
2013,2012,"A2_DCH1","Ζευγάρι με 1 παιδί",9125,10827
2013,2012,"TOTAL","Όλος ο πληθυσμός",8377,9316
2014,2013,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7730,8680
2014,2013,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",8938,10255
2014,2013,"A2_DCH1","Ζευγάρι με 1 παιδί",8574,10126
2014,2013,"TOTAL","Όλος ο πληθυσμός",7680,8884
2015,2014,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7440,8486
2015,2014,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",8827,10143
2015,2014,"A2_DCH1","Ζευγάρι με 1 παιδί",8603,9785
2015,2014,"TOTAL","Όλος ο πληθυσμός",7527,8691
2016,2015,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7420,8554
2016,2015,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",8633,9941
2016,2015,"A2_DCH1","Ζευγάρι με 1 παιδί",8178,9652
2016,2015,"TOTAL","Όλος ο πληθυσμός",7504,8682
2017,2016,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7355,8384
2017,2016,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",8633,10270
2017,2016,"A2_DCH1","Ζευγάρι με 1 παιδί",8398,9781
2017,2016,"TOTAL","Όλος ο πληθυσμός",7611,8809
2018,2017,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7406,8687
2018,2017,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",9147,11087
2018,2017,"A2_DCH1","Ζευγάρι με 1 παιδί",8595,10017
2018,2017,"TOTAL","Όλος ο πληθυσμός",7875,9049
2019,2018,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7650,8816
2019,2018,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",10000,11872
2019,2018,"A2_DCH1","Ζευγάρι με 1 παιδί",9601,10764
2019,2018,"TOTAL","Όλος ο πληθυσμός",8200,9396
2020,2019,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",8064,9159
2020,2019,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",10333,11902
2020,2019,"A2_DCH1","Ζευγάρι με 1 παιδί",10409,11403
2020,2019,"TOTAL","Όλος ο πληθυσμός",8781,10044
2021,2020,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",8084,8954
2021,2020,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",10253,11957
2021,2020,"A2_DCH1","Ζευγάρι με 1 παιδί",9995,10838
2021,2020,"TOTAL","Όλος ο πληθυσμός",8755,9962
2022,2021,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",8820,9569
2022,2021,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",11543,13142
2022,2021,"A2_DCH1","Ζευγάρι με 1 παιδί",10344,11819
2022,2021,"TOTAL","Όλος ο πληθυσμός",9520,10840
2023,2022,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",9340,10374
2023,2022,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",11923,13526
2023,2022,"A2_DCH1","Ζευγάρι με 1 παιδί",11051,13110
2023,2022,"TOTAL","Όλος ο πληθυσμός",10060,11548
2024,2023,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",9800,10920
2024,2023,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",13180,14583
2024,2023,"A2_DCH1","Ζευγάρι με 1 παιδί",11547,13585
2024,2023,"TOTAL","Όλος ο πληθυσμός",10862,12407
2025,2024,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",10330,11544
2025,2024,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",14761,16115
2025,2024,"A2_DCH1","Ζευγάρι με 1 παιδί",12853,15091
2025,2024,"TOTAL","Όλος ο πληθυσμός",11700,13389
