"survey_year","series","pop_share","income_share"
2025,"model",0,0
2025,"model",0.005,0.000433584479039005
2025,"model",0.01,0.00114313064797711
2025,"model",0.015,0.00201565976479905
2025,"model",0.02,0.00301451615797948
2025,"model",0.025,0.00411937873408327
2025,"model",0.03,0.0053169419742886
2025,"model",0.035,0.00659767125786805
2025,"model",0.04,0.00795432981765883
2025,"model",0.045,0.0093812005367312
2025,"model",0.05,0.0108736313707543
2025,"model",0.055,0.0124277499357739
2025,"model",0.06,0.0140402742470609
2025,"model",0.065,0.0157083817165647
2025,"model",0.07,0.017429615280353
2025,"model",0.075,0.0192018141823506
2025,"model",0.08,0.0210230616986985
2025,"model",0.085,0.0228916448409944
2025,"model",0.09,0.0248060227408637
2025,"model",0.095,0.0267648014614859
2025,"model",0.1,0.0287667136565622
2025,"model",0.105,0.0308106019459684
2025,"model",0.11,0.032895405183034
2025,"model",0.115,0.0350201470011449
2025,"model",0.12,0.0371839261782924
2025,"model",0.125,0.0393859084671176
2025,"model",0.13,0.0416253196178348
2025,"model",0.135,0.0439014393807697
2025,"model",0.14,0.04621359631994
2025,"model",0.145,0.0485611633031547
2025,"model",0.15,0.0509435535603393
2025,"model",0.155,0.0533602172221966
2025,"model",0.16,0.055810638267334
2025,"model",0.165,0.0582943318186777
2025,"model",0.17,0.0608108417401249
2025,"model",0.175,0.0633597384925296
2025,"model",0.18,0.0659406172147217
2025,"model",0.185,0.0685530960006347
2025,"model",0.19,0.071196814348035
2025,"model",0.195,0.0738714317579845
2025,"model",0.2,0.0765766264671897
2025,"model",0.205,0.0793120942979137
2025,"model",0.21,0.08207754761223
2025,"model",0.215,0.0848727143591865
2025,"model",0.22,0.0876973372049376
2025,"model",0.225,0.090551172737191
2025,"model",0.23,0.0934339907363938
2025,"model",0.235,0.0963455735070204
2025,"model",0.24,0.0992857152631202
2025,"model",0.245,0.102254221562976
2025,"model",0.25,0.105250908788313
2025,"model",0.255,0.108275603664031
2025,"model",0.26,0.111328142814856
2025,"model",0.265,0.114408372355732
2025,"model",0.27,0.11751614751309
2025,"model",0.275,0.120651332274449
2025,"model",0.28,0.123813799064065
2025,"model",0.285,0.127003428442577
2025,"model",0.29,0.130220108828803
2025,"model",0.295,0.133463736242037
2025,"model",0.3,0.136734214063339
2025,"model",0.305,0.140031452814477
2025,"model",0.31,0.143355369953293
2025,"model",0.315,0.1467058896844
2025,"model",0.32,0.150082942784194
2025,"model",0.325,0.153486466439292
2025,"model",0.33,0.156916404097562
2025,"model",0.335,0.160372705331011
2025,"model",0.34,0.163855325709838
2025,"model",0.345,0.167364226687066
2025,"model",0.35,0.170899375493169
2025,"model",0.355,0.174460745040211
2025,"model",0.36,0.178048313835026
2025,"model",0.365,0.181662065901045
2025,"model",0.37,0.185301990708374
2025,"model",0.375,0.18896808311181
2025,"model",0.38,0.192660343296484
2025,"model",0.385,0.196378776730862
2025,"model",0.39,0.200123394126864
2025,"model",0.395,0.2038942114069
2025,"model",0.4,0.20769124967762
2025,"model",0.405,0.211514535210237
2025,"model",0.41,0.215364099427265
2025,"model",0.415,0.21923997889558
2025,"model",0.42,0.22314221532568
2025,"model",0.425,0.227070855577104
2025,"model",0.43,0.231025951669927
2025,"model",0.435,0.235007560802308
2025,"model",0.44,0.239015745374078
2025,"model",0.445,0.243050573016358
2025,"model",0.45,0.247112116627236
2025,"model",0.455,0.251200454413533
2025,"model",0.46,0.25531566993872
2025,"model",0.465,0.259457852177053
2025,"model",0.47,0.263627095574014
2025,"model",0.475,0.267823500113179
2025,"model",0.48,0.272047171389626
2025,"model",0.485,0.276298220690044
2025,"model",0.49,0.280576765079691
2025,"model",0.495,0.284882927496414
2025,"model",0.5,0.289216836851904
2025,"model",0.505,0.293578628140458
2025,"model",0.51,0.297968442555459
2025,"model",0.515,0.30238642761388
2025,"model",0.52,0.306832737289109
2025,"model",0.525,0.31130753215241
2025,"model",0.53,0.315810979523398
2025,"model",0.535,0.320343253629909
2025,"model",0.54,0.324904535777676
2025,"model",0.545,0.329495014530286
2025,"model",0.55,0.334114885899893
2025,"model",0.555,0.338764353549232
2025,"model",0.56,0.343443629005496
2025,"model",0.565,0.348152931886705
2025,"model",0.57,0.352892490141243
2025,"model",0.575,0.357662540301262
2025,"model",0.58,0.362463327750762
2025,"model",0.585,0.367295107009169
2025,"model",0.59,0.372158142031331
2025,"model",0.595,0.377052706524909
2025,"model",0.6,0.381979084286235
2025,"model",0.605,0.386937569555772
2025,"model",0.61,0.391928467394441
2025,"model",0.615,0.396952094082133
2025,"model",0.62,0.402008777539906
2025,"model",0.625,0.407098857777403
2025,"model",0.63,0.412222687367253
2025,"model",0.635,0.417380631948295
2025,"model",0.64,0.422573070759665
2025,"model",0.645,0.427800397207956
2025,"model",0.65,0.433063019469857
2025,"model",0.655,0.438361361132895
2025,"model",0.66,0.443695861877152
2025,"model",0.665,0.449066978201089
2025,"model",0.67,0.454475184194899
2025,"model",0.675,0.459920972365169
2025,"model",0.68,0.465404854514944
2025,"model",0.685,0.470927362683753
2025,"model",0.69,0.476489050152559
2025,"model",0.695,0.482090492519142
2025,"model",0.7,0.487732288849956
2025,"model",0.705,0.493415062915174
2025,"model",0.71,0.499139464514309
2025,"model",0.715,0.504906170900651
2025,"model",0.72,0.510715888313624
2025,"model",0.725,0.516569353629212
2025,"model",0.73,0.522467336139786
2025,"model",0.735,0.528410639475928
2025,"model",0.74,0.534400103684409
2025,"model",0.745,0.540436607478157
2025,"model",0.75,0.546521070675991
2025,"model",0.755,0.55265445685219
2025,"model",0.76,0.558837776218482
2025,"model",0.765,0.565072088764045
2025,"model",0.77,0.571358507682518
2025,"model",0.775,0.577698203119006
2025,"model",0.78,0.584092406274661
2025,"model",0.785,0.590542413911807
2025,"model",0.79,0.597049593308893
2025,"model",0.795,0.60361538772191
2025,"model",0.8,0.610241322417643
2025,"model",0.805,0.616929011354415
2025,"model",0.81,0.623680164598208
2025,"model",0.815,0.630496596576619
2025,"model",0.82,0.637380235290574
2025,"model",0.825,0.644333132624719
2025,"model",0.83,0.651357475922796
2025,"model",0.835,0.658455601025181
2025,"model",0.84,0.66563000700343
2025,"model",0.845,0.672883372873009
2025,"model",0.85,0.680218576622623
2025,"model",0.855,0.687638716969773
2025,"model",0.86,0.69514713834138
2025,"model",0.865,0.702747459690821
2025,"model",0.87,0.710443607905826
2025,"model",0.875,0.718239856745072
2025,"model",0.88,0.726140872478507
2025,"model",0.885,0.734151767716124
2025,"model",0.89,0.742278165318438
2025,"model",0.895,0.750526274826713
2025,"model",0.9,0.758902984586425
2025,"model",0.905,0.767415973743148
2025,"model",0.91,0.77607384968503
2025,"model",0.915,0.784886318471512
2025,"model",0.92,0.793864398605085
2025,"model",0.925,0.803020692618402
2025,"model",0.93,0.812369737090022
2025,"model",0.935,0.821928461085323
2025,"model",0.94,0.831716797746015
2025,"model",0.945,0.841758517580906
2025,"model",0.95,0.852082391943373
2025,"model",0.955,0.862723864881732
2025,"model",0.96,0.873727539187348
2025,"model",0.965,0.885151030021511
2025,"model",0.97,0.897071254551007
2025,"model",0.975,0.90959539621202
2025,"model",0.98,0.922881763045753
2025,"model",0.985,0.937184637251872
2025,"model",0.99,0.952970544501143
2025,"model",0.995,0.971340451164275
2025,"model",1,1
2025,"elstat",0,0
2025,"elstat",0.2,0.0760760760760761
2025,"elstat",0.4,0.208208208208208
2025,"elstat",0.6,0.383383383383383
2025,"elstat",0.8,0.606606606606607
2025,"elstat",1,1
