"first_year","survey_year","code","name_el","article","gini_first","gini_last","direction"
2015,2025,"RO","Ρουμανία","η",37.4,27.3,"moved_below_greece"
2015,2025,"EE","Εσθονία","η",34.8,30.9,"moved_below_greece"
2015,2025,"ES","Ισπανία","η",34.6,30.8,"moved_below_greece"
