"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
1995,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",7953,
1996,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",8300,
1997,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",8772,
1998,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",9396,
1999,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",9483,
2000,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10343,
2001,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10546,
2003,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",12061,"b"
2004,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",11883,
2005,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",12656,
2006,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",13120,
2007,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",13510,
2008,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",14222,
2009,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",14809,
2010,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",14697,
2011,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",13336,
2012,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",11243,
2013,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10066,
2014,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10033,
2015,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10173,
2016,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10474,
2017,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10473,
2018,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",10639,
2019,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",11196,
2020,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",11638,
2021,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",11289,
2022,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",12344,
2023,"EL","PPS","MEAN_EI","TOTAL","Total","Mean equivalised income","Purchasing power standard (PPS)",13086,
