"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
2005,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",10710,
2006,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",11411,
2007,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",12431,
2008,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",13109,
2009,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",13904,
2010,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",13904,
2011,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",12584,
2012,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",11406,
2013,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",10579,
2014,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",9501,
2015,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",9498,
2016,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",9464,
2017,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",9695,
2018,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",10123,
2019,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",10578,
2020,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",11184,
2021,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",11010,
2022,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",11702,
2023,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",12332,
2024,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",13025,
2025,"EL","NAC","MEAN_EI","A2","Two adults","Mean equivalised income","National currency",14053,
2003,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12004,"b"
2004,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",11558,
2005,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12226,
2006,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12931,
2007,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",13960,
2008,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",14604,
2009,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",15271,
2010,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",14643,
2011,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",13320,
2012,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12066,
2013,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",11431,
2014,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",10731,
2015,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",11117,
2016,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",11417,
2017,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",11526,
2018,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",11902,
2019,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12604,
2020,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12959,
2021,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",12477,
2022,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",13326,
2023,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",13974,
2024,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",14930,
2025,"EL","PPS","MEAN_EI","A2","Two adults","Mean equivalised income","Purchasing power standard (PPS)",16349,
2003,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",7733,"b"
2004,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8107,
2005,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8793,
2006,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",9533,
2007,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",10080,
2008,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",10737,
2009,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",11220,
2010,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",11400,
2011,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",10400,
2012,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",9880,
2013,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",9040,
2014,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8167,
2015,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8240,
2016,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8253,
2017,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8327,
2018,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",8533,
2019,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",9033,
2020,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",9513,
2021,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",9272,
2022,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",10027,
2023,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",10657,
2024,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",11347,
2025,"EL","EUR","MED_EI","A2","Two adults","Median equivalised income","Euro",12153,
2003,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",7733,"b"
2004,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8107,
2005,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8793,
2006,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",9533,
2007,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",10080,
2008,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",10737,
2009,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",11220,
2010,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",11400,
2011,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",10400,
2012,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",9880,
2013,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",9040,
2014,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8167,
2015,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8240,
2016,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8253,
2017,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8327,
2018,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",8533,
2019,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",9033,
2020,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",9513,
2021,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",9272,
2022,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",10027,
2023,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",10657,
2024,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",11347,
2025,"EL","NAC","MED_EI","A2","Two adults","Median equivalised income","National currency",12153,
2003,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9644,"b"
2004,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9440,
2005,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",10038,
2006,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",10803,
2007,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",11320,
2008,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",11961,
2009,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",12323,
2010,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",12006,
2011,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",11008,
2012,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",10451,
2013,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9768,
2014,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9224,
2015,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9645,
2016,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9956,
2017,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",9899,
2018,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",10032,
2019,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",10764,
2020,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",11023,
2021,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",10507,
2022,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",11418,
2023,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",12077,
2024,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",13006,
2025,"EL","PPS","MED_EI","A2","Two adults","Median equivalised income","Purchasing power standard (PPS)",14139,
1995,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",7463,
1996,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",8004,
1997,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",8373,
1998,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9318,
1999,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9094,
2000,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9611,
2001,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9871,
2003,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",11967,"b"
2004,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",11525,
2005,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",12849,
2006,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",13288,
2007,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",13227,
2008,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",14002,
2009,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",13569,
2010,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",14370,
2011,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",13434,
2012,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",10684,
2013,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",10827,
2014,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",10126,
2015,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9785,
2016,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9652,
2017,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",9781,
2018,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",10017,
2019,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",10764,
2020,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",11403,
2021,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",10838,
2022,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",11819,
2023,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",13110,
2024,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",13585,
2025,"EL","EUR","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Euro",15091,
1995,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",6384,
1996,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",7203,
1997,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",7598,
1998,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",8562,
1999,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",8933,
2000,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",9301,
2001,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",9871,
2003,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",11967,"b"
2004,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",11525,
2005,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",12849,
2006,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",13288,
2007,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",13227,
2008,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",14002,
2009,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",13569,
2010,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",14370,
2011,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",13434,
2012,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",10684,
2013,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",10827,
2014,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",10126,
2015,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",9785,
2016,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",9652,
2017,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",9781,
2018,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",10017,
2019,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",10764,
2020,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",11403,
2021,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",10838,
2022,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",11819,
2023,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",13110,
2024,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",13585,
2025,"EL","NAC","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","National currency",15091,
1995,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",9604,
1996,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",10254,
1997,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",10395,
1998,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11256,
1999,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11345,
2000,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",12243,
2001,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",12601,
2003,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",14924,"b"
2004,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",13420,
2005,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",14668,
2006,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",15058,
2007,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",14854,
2008,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",15599,
2009,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",14903,
2010,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",15134,
2011,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",14219,
2012,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11302,
2013,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11700,
2014,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11436,
2015,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11454,
2016,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11643,
2017,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11627,
2018,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",11777,
2019,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",12826,
2020,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",13213,
2021,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",12281,
2022,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",13459,
2023,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",14856,
2024,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",15571,
2025,"EL","PPS","MEAN_EI","A2_DCH1","Two adults with one dependent child","Mean equivalised income","Purchasing power standard (PPS)",17556,
1995,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",6610,
1996,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",6924,
1997,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",7127,
1998,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",7431,
1999,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",7828,
2000,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8635,
2001,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8646,
2003,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",9800,"b"
2004,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",10253,
2005,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",11278,
2006,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",10889,
2007,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",11180,
2008,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",12199,
2009,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",11756,
2010,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",11667,
2011,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",12440,
2012,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",9299,
2013,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",9125,
2014,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8574,
2015,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8603,
2016,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8178,
2017,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8398,
2018,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",8595,
2019,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",9601,
2020,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",10409,
2021,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",9995,
2022,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",10344,
2023,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",11051,
2024,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",11547,
2025,"EL","EUR","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Euro",12853,
1995,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",5655,
1996,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",6231,
1997,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",6468,
1998,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",6828,
1999,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",7690,
2000,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8357,
2001,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8646,
2003,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",9800,"b"
2004,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",10253,
2005,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",11278,
2006,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",10889,
2007,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",11180,
2008,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",12199,
2009,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",11756,
2010,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",11667,
2011,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",12440,
2012,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",9299,
2013,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",9125,
2014,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8574,
2015,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8603,
2016,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8178,
2017,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8398,
2018,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",8595,
2019,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",9601,
2020,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",10409,
2021,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",9995,
2022,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",10344,
2023,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",11051,
2024,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",11547,
2025,"EL","NAC","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","National currency",12853,
1995,"EL","PPS","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Purchasing power standard (PPS)",8507,
1996,"EL","PPS","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Purchasing power standard (PPS)",8871,
1997,"EL","PPS","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Purchasing power standard (PPS)",8849,
1998,"EL","PPS","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Purchasing power standard (PPS)",8977,
1999,"EL","PPS","MED_EI","A2_DCH1","Two adults with one dependent child","Median equivalised income","Purchasing power standard (PPS)",9766,
