"time","geo","age","sex","income","unit","statinfo","statinfo_label","unit_label","income_label","sex_label","age_label","value","flag"
2024,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",247,
2025,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",227,
2003,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1691,
2004,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1816,
2005,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1717,
2006,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1698,
2007,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1737,
2008,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1719,
2009,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1725,
2010,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1743,
2011,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1750,
2012,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1674,
2014,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1628,
2015,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1642,
2016,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1668,
2017,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1575,
2018,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1533,
2019,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1552,
2020,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1511,
2021,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1524,
2022,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1443,
2023,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1337,
2024,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1348,
2025,"EL","Y18-64","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","From 18 to 64 years",1301,
2003,"EL","Y_GE65","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","65 years or over",277,
