"time","geo","unit","hhcomp","rskpovth","statinfo","statinfo_label","rskpovth_label","hhcomp_label","unit_label","value","flag"
2022,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",48,
2023,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",70,
2024,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",74,
2025,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",78,
1995,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",19,
1996,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",15,
1997,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",14,
1998,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",18,
1999,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",15,
2000,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",17,
2001,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",14,
2003,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",16.4,"b"
2004,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.5,
2005,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",12.8,
2006,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.5,
2007,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",14.3,
2008,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.9,
2009,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",14.9,
2010,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.6,
2011,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",15.5,
2012,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",10.3,
2013,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",10.6,
2014,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",10.4,
2015,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.6,
2016,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",12.7,
2017,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",11.8,
2018,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",11.8,
2019,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",10.9,
2020,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",11.6,
2021,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.9,
2022,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",12.9,
2023,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",12.6,
2024,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.1,
2025,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",13.8,
