"time","geo","unit","statinfo","sex","age","age_label","sex_label","statinfo_label","unit_label","value","flag"
2020,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",10041,
2021,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",9952,
2022,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",10832,
2023,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",11546,
2024,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",12391,
2025,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",13381,
1995,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",7953,
1996,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",8300,
1997,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",8772,
1998,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",9396,
1999,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",9483,
2000,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10343,
2001,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10546,
2003,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",12065,"b"
2004,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",11876,
2005,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",12728,
2006,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",13220,
2007,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",13622,
2008,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",14223,
2009,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",14833,
2010,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",14717,
2011,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",13364,
2012,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",11293,
2013,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10053,
2014,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10028,
2015,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10163,
2016,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10462,
2017,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10462,
2018,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",10621,
2019,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",11179,
2020,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",11635,
2021,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",11277,
2022,"EL","PPS","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Purchasing power standard (PPS)",12335,
